104,106
0,29,2
1,44,4
1,90,-4
2,53,-2
3,36,-2
3,46,1
4,78,5
5,25,-4
5,26,3
6,20,-1
7,51,-5
7,66,-3
8,82,-2
8,92,3
9,63,-4
9,82,3
10,62,-5
10,71,-1
11,57,5
11,61,4
12,41,4
12,44,3
13,22,5
13,87,-3
14,37,5
14,79,-5
15,47,3
16,16,2
16,29,4
17,4,3
18,17,1
18,105,-2
19,0,-1
19,49,-1
20,97,1
21,4,5
21,96,1
22,26,5
22,41,-2
23,27,-5
23,37,1
24,58,-5
24,73,-1
25,52,-3
25,70,-2
26,2,1
27,55,-5
28,44,-5
28,104,-1
29,33,2
29,67,-3
30,0,-4
30,22,1
31,19,5
31,81,-3
32,10,-2
32,54,-3
33,83,-3
34,84,-1
34,86,1
35,24,3
35,91,5
36,60,-2
36,95,3
37,36,2
37,40,-4
38,12,2
38,78,1
39,40,5
40,34,2
40,105,5
41,15,5
42,8,-2
42,43,5
43,58,-4
43,88,-4
44,81,-5
44,82,3
45,15,3
45,29,1
46,24,-1
46,39,1
47,52,2
48,43,3
49,45,5
50,95,-4
51,4,1
51,98,4
52,55,-4
52,95,-5
53,78,-2
54,72,3
54,85,-2
55,8,5
55,38,4
56,52,1
57,99,2
58,42,4
59,7,1
59,16,3
60,95,-2
61,20,2
61,83,-3
62,105,4
63,46,-2
63,82,1
64,45,-3
64,48,-5
65,59,-1
65,97,3
66,37,5
67,36,5
67,68,4
68,98,5
69,96,2
69,100,1
70,38,-3
70,45,2
71,38,-4
71,72,-5
72,29,2
73,36,-1
73,55,1
74,15,-5
74,82,-5
75,87,-1
75,88,-2
76,60,2
76,67,-3
77,43,2
77,96,4
78,31,-1
78,47,5
79,15,2
79,86,-2
80,8,3
81,61,-1
81,76,-3
82,24,4
82,25,-4
83,101,4
84,101,-1
85,60,5
85,80,1
86,96,5
87,96,-1
88,45,5
89,16,1
90,25,3
90,27,-4
91,42,-4
91,92,-4
92,44,5
92,96,5
93,53,5
93,56,3
94,8,-2
94,88,-2
95,16,-1
95,64,2
96,4,-1
96,28,-2
97,22,-3
98,73,-2
98,98,5
99,76,1
99,103,-4
100,22,4
100,57,3
101,44,2
101,101,-5
102,6,5
102,37,3
103,91,-5
103,95,3
