104,106
0,10,-1
1,19,-3
2,41,1
2,66,-1
3,44,-1
4,72,1
5,32,-5
5,104,-2
6,50,5
6,67,1
7,101,3
8,3,-3
8,94,-5
9,63,-5
10,12,3
10,49,-2
11,22,2
11,96,-5
12,86,2
12,97,4
13,82,-2
13,105,3
14,17,-4
14,81,-1
15,8,-3
15,92,-2
16,10,3
16,99,-1
17,40,1
18,30,4
18,105,2
19,35,-3
19,104,4
20,34,4
20,100,2
21,90,3
22,95,1
23,35,-4
23,90,-2
24,49,-1
25,32,2
25,74,-3
26,12,1
26,17,4
27,50,-2
27,54,5
28,57,-4
29,18,-4
29,79,3
30,15,-2
30,67,5
31,50,5
31,71,4
32,68,3
32,76,-3
33,2,-3
34,86,-3
34,96,4
35,25,3
35,57,3
36,9,-5
36,81,-2
38,31,-4
38,39,-2
39,96,3
40,34,-5
40,88,1
41,4,4
41,47,-1
42,20,5
42,94,-1
43,11,4
43,87,4
44,19,-4
44,97,-4
45,2,-4
45,16,5
46,36,-4
46,70,3
47,37,-2
48,82,2
48,90,-5
49,95,-2
50,47,-1
50,49,1
51,13,5
51,80,-4
52,48,-5
53,20,-3
53,26,-5
54,2,1
54,35,5
55,56,-3
56,8,1
56,35,-3
57,58,5
58,31,4
59,49,-1
60,86,-2
60,91,3
61,50,-5
61,102,5
62,29,-4
62,92,3
63,50,-5
64,1,-3
64,82,-4
65,1,-3
65,5,5
66,83,5
66,93,5
67,55,3
67,61,4
68,9,4
68,88,-3
69,10,5
69,91,-5
70,39,-5
70,90,-4
71,17,3
71,79,-2
72,33,-2
72,49,5
73,29,-2
73,69,3
74,64,1
74,98,-4
75,37,3
75,95,-3
76,104,-3
77,30,-1
78,68,3
78,79,-3
79,34,-1
80,19,-2
81,82,3
82,15,4
82,89,-5
83,44,3
83,67,4
84,6,-5
84,13,-2
85,52,4
86,52,-2
87,73,2
87,92,2
88,36,-1
88,41,-1
89,8,-1
89,89,-5
90,45,4
90,48,1
91,104,-2
92,23,3
92,36,1
93,22,5
93,96,-5
94,14,5
94,70,-4
96,60,2
97,13,2
97,35,-1
98,34,3
98,74,1
99,9,2
99,87,-5
100,30,-5
101,33,2
101,84,-5
102,46,3
102,72,5
103,94,1
103,99,-4
