107,110
0,2,3
1,24,-1
1,74,1
2,34,-1
3,66,-1
4,98,2
5,19,5
5,41,-2
6,57,2
7,89,4
7,108,-4
8,44,4
8,49,4
9,13,4
9,101,1
10,41,-5
10,102,3
11,62,5
11,84,2
12,4,2
13,20,5
13,35,-3
14,65,5
14,94,5
15,56,-5
16,20,-3
16,95,3
18,14,4
18,94,-5
19,33,-3
20,72,-2
21,57,-3
21,104,-4
22,22,5
22,39,1
23,93,4
24,44,-2
24,66,5
25,20,1
25,65,5
26,31,3
27,12,-3
27,81,4
28,49,-2
28,90,4
29,83,-2
30,38,2
30,62,-4
31,48,4
32,11,-5
32,105,1
33,20,3
33,87,-5
34,9,1
34,91,-2
35,3,-4
35,9,3
36,26,-4
36,104,5
37,52,-2
37,54,-1
38,64,5
38,81,4
39,33,-5
39,46,-5
40,45,1
40,71,5
41,9,1
41,12,-5
42,106,-5
43,75,1
43,92,-4
44,20,-3
44,42,5
45,57,-2
45,93,-1
46,31,-2
46,32,4
47,89,3
48,30,5
49,38,2
49,64,3
50,24,5
50,69,1
51,103,2
52,107,-1
53,64,5
54,69,-2
55,15,1
55,24,5
56,78,-5
56,107,5
57,9,-1
57,38,5
58,46,-3
58,106,-3
59,56,-5
60,56,-5
60,101,1
61,8,1
61,26,-4
63,62,4
63,64,-5
65,31,5
66,98,1
68,16,-1
68,35,5
69,9,-1
69,39,3
70,53,-1
70,93,4
71,37,-2
72,4,1
72,69,1
73,13,1
73,24,-4
74,25,-2
74,73,1
75,47,3
75,74,-1
76,94,-4
77,103,-1
78,105,-5
79,85,2
79,90,-1
80,97,-1
80,102,5
81,6,-4
82,25,4
83,18,-1
83,45,-4
84,67,-3
84,105,2
85,21,3
85,91,-4
86,4,-2
86,37,-3
87,0,-3
87,80,3
88,62,5
88,102,3
89,14,-5
90,42,-4
90,98,-4
91,16,1
91,27,-4
92,32,-5
93,77,4
93,102,-2
94,44,-4
94,64,-3
95,2,1
95,39,1
96,11,4
97,56,-5
98,28,2
99,28,3
99,87,-3
100,77,-5
100,93,-5
101,5,-5
101,14,-5
102,74,-1
102,80,-2
103,23,5
105,20,-5
105,97,5
106,35,3
106,49,-2
