104,106
0,29,2
0,10,-1
1,44,4
1,90,-4
1,19,-3
2,53,-2
2,41,1
2,66,-1
3,36,-2
3,46,1
3,44,-1
4,78,5
4,72,1
5,25,-4
5,26,3
5,104,-2
5,32,-5
6,20,-1
6,50,5
6,67,1
7,66,-3
7,51,-5
7,101,3
8,92,3
8,82,-2
8,3,-3
8,94,-5
9,63,-9
9,82,3
10,62,-5
10,71,-1
10,12,3
10,49,-2
11,61,4
11,57,5
11,96,-5
11,22,2
12,41,4
12,44,3
12,97,4
12,86,2
13,22,5
13,87,-3
13,105,3
13,82,-2
14,79,-5
14,37,5
14,81,-1
14,17,-4
15,47,3
15,8,-3
15,92,-2
16,29,4
16,16,2
16,99,-1
16,10,3
17,4,3
17,40,1
18,17,1
18,105,0
19,49,-1
19,0,-1
19,35,-3
19,104,4
20,97,1
20,100,2
20,34,4
21,96,1
21,4,5
21,90,3
22,41,-2
22,26,5
22,95,1
23,27,-5
23,37,1
23,90,-2
23,35,-4
24,73,-1
24,58,-5
24,49,-1
25,70,-2
25,52,-3
25,32,2
25,74,-3
26,2,1
26,12,1
26,17,4
27,55,-5
27,50,-2
27,54,5
28,104,-1
28,44,-5
28,57,-4
29,67,-3
29,33,2
29,18,-4
29,79,3
30,22,1
30,0,-4
30,67,5
30,15,-2
31,81,-3
31,19,5
31,71,4
31,50,5
32,54,-3
32,10,-2
32,68,3
32,76,-3
33,83,-3
33,2,-3
34,86,-2
34,84,-1
34,96,4
35,91,5
35,24,3
35,57,3
35,25,3
36,95,3
36,60,-2
36,9,-5
36,81,-2
37,40,-4
37,36,2
38,12,2
38,78,1
38,39,-2
38,31,-4
39,40,5
39,96,3
40,34,-3
40,105,5
40,88,1
41,15,5
41,4,4
41,47,-1
42,8,-2
42,43,5
42,20,5
42,94,-1
43,58,-4
43,88,-4
43,87,4
43,11,4
44,82,3
44,81,-5
44,19,-4
44,97,-4
45,15,3
45,29,1
45,16,5
45,2,-4
46,39,1
46,24,-1
46,70,3
46,36,-4
47,52,2
47,37,-2
48,43,3
48,82,2
48,90,-5
49,45,5
49,95,-2
50,95,-4
50,49,1
50,47,-1
51,98,4
51,4,1
51,80,-4
51,13,5
52,95,-5
52,55,-4
52,48,-5
53,78,-2
53,20,-3
53,26,-5
54,72,3
54,85,-2
54,2,1
54,35,5
55,8,5
55,38,4
55,56,-3
56,52,1
56,8,1
56,35,-3
57,99,2
57,58,5
58,42,4
58,31,4
59,16,3
59,7,1
59,49,-1
60,95,-2
60,91,3
60,86,-2
61,20,2
61,83,-3
61,50,-5
61,102,5
62,105,4
62,29,-4
62,92,3
63,82,1
63,46,-2
63,50,-5
64,45,-3
64,48,-5
64,1,-3
64,82,-4
65,97,3
65,59,-1
65,5,5
65,1,-3
66,37,5
66,83,5
66,93,5
67,36,5
67,68,4
67,61,4
67,55,3
68,98,5
68,9,4
68,88,-3
69,100,1
69,96,2
69,91,-5
69,10,5
70,38,-3
70,45,2
70,39,-5
70,90,-4
71,72,-5
71,38,-4
71,79,-2
71,17,3
72,29,2
72,49,5
72,33,-2
73,36,-1
73,55,1
73,29,-2
73,69,3
74,82,-5
74,15,-5
74,98,-4
74,64,1
75,87,-1
75,88,-2
75,95,-3
75,37,3
76,67,-3
76,60,2
76,104,-3
77,43,2
77,96,4
77,30,-1
78,31,-1
78,47,5
78,68,3
78,79,-3
79,86,-2
79,15,2
79,34,-1
80,8,3
80,19,-2
81,76,-3
81,61,-1
81,82,3
82,24,4
82,25,-4
82,15,4
82,89,-5
83,101,4
83,44,3
83,67,4
84,101,-1
84,13,-2
84,6,-5
85,60,5
85,80,1
85,52,4
86,96,5
86,52,-2
87,96,-1
87,92,2
87,73,2
88,45,5
88,36,-1
88,41,-1
89,16,1
89,89,-5
89,8,-1
90,27,-4
90,25,3
90,48,1
90,45,4
91,42,-4
91,92,-4
91,104,-2
92,96,5
92,44,5
92,36,1
92,23,3
93,53,5
93,56,3
93,96,-5
93,22,5
94,8,-2
94,88,-2
94,70,-4
94,14,5
95,64,2
95,16,-1
96,4,-1
96,28,-2
96,60,2
97,22,-3
97,35,-1
97,13,2
98,73,-2
98,98,5
98,74,1
98,34,3
99,103,-4
99,76,1
99,87,-5
99,9,2
100,57,3
100,22,4
100,30,-5
101,44,2
101,101,-5
101,84,-5
101,33,2
102,6,5
102,37,3
102,72,5
102,46,3
