104,106
0,0,0
0,29,2
1,10,-1
1,44,4
1,90,-4
2,19,-3
2,53,-2
2,41,1
3,66,-1
3,36,-2
3,46,1
4,44,-1
4,78,5
5,72,1
5,25,-4
5,26,3
5,32,-5
6,104,-2
6,20,-1
6,50,5
7,67,1
7,51,-5
7,66,-3
8,101,3
8,82,-2
8,92,3
8,3,-3
9,94,-5
9,63,-9
10,82,3
10,62,-5
10,71,-1
10,12,3
11,49,-2
11,57,5
11,61,4
11,22,2
12,96,-5
12,41,4
12,44,3
12,86,2
13,97,4
13,22,5
13,87,-3
13,82,-2
14,105,3
14,37,5
14,79,-5
14,17,-4
15,81,-1
15,47,3
15,8,-3
16,92,-2
16,16,2
16,29,4
16,10,3
17,99,-1
17,4,3
18,40,1
18,17,1
18,105,0
19,30,4
19,0,-1
19,49,-1
19,35,-3
20,104,4
20,97,1
20,34,4
21,100,2
21,4,5
21,96,1
22,90,3
22,26,5
22,41,-2
23,95,1
23,27,-5
23,37,1
23,35,-4
24,90,-2
24,58,-5
24,73,-1
25,49,-1
25,52,-3
25,70,-2
25,32,2
26,74,-3
26,2,1
26,12,1
27,17,4
27,55,-5
27,50,-2
28,54,5
28,44,-5
28,104,-1
29,57,-4
29,33,2
29,67,-3
29,18,-4
30,79,3
30,0,-4
30,22,1
30,15,-2
31,67,5
31,19,5
31,81,-3
31,50,5
32,71,4
32,10,-2
32,54,-3
32,68,3
33,76,-3
33,83,-3
34,2,-3
34,84,-1
34,86,-2
35,96,4
35,24,3
35,91,5
35,25,3
36,57,3
36,60,-2
36,95,3
36,9,-5
37,81,-2
37,36,2
38,40,-4
38,12,2
38,78,1
38,31,-4
39,39,-2
39,40,5
40,96,3
40,34,-3
40,105,5
41,88,1
41,15,5
41,4,4
42,47,-1
42,8,-2
42,43,5
42,20,5
43,94,-1
43,58,-4
43,88,-4
43,11,4
44,87,4
44,81,-5
44,82,3
44,19,-4
45,97,-4
45,15,3
45,29,1
45,2,-4
46,16,5
46,24,-1
46,39,1
46,36,-4
47,70,3
47,52,2
48,37,-2
48,43,3
48,82,2
49,90,-5
49,45,5
50,95,-4
50,95,-4
50,47,-1
51,49,1
51,4,1
51,98,4
51,13,5
52,80,-4
52,55,-4
52,95,-5
53,48,-5
53,78,-2
53,20,-3
54,26,-5
54,72,3
54,85,-2
54,2,1
55,35,5
55,8,5
55,38,4
56,56,-3
56,52,1
56,8,1
57,35,-3
57,99,2
58,58,5
58,42,4
59,31,4
59,7,1
59,16,3
60,49,-1
60,95,-2
60,86,-2
61,91,3
61,20,2
61,83,-3
61,50,-5
62,102,5
62,105,4
62,29,-4
63,92,3
63,46,-2
63,82,1
64,50,-5
64,45,-3
64,48,-5
64,1,-3
65,82,-4
65,59,-1
65,97,3
65,1,-3
66,5,5
66,37,5
66,83,5
67,93,5
67,36,5
67,68,4
67,55,3
68,61,4
68,98,5
68,9,4
69,88,-3
69,96,2
69,100,1
69,10,5
70,91,-5
70,38,-3
70,45,2
70,39,-5
71,90,-4
71,38,-4
71,72,-5
71,17,3
72,79,-2
72,29,2
72,33,-2
73,49,5
73,36,-1
73,55,1
73,29,-2
74,69,3
74,15,-5
74,82,-5
74,64,1
75,98,-4
75,87,-1
75,88,-2
75,37,3
76,95,-3
76,60,2
76,67,-3
77,104,-3
77,43,2
77,96,4
78,30,-1
78,31,-1
78,47,5
78,68,3
79,79,-3
79,15,2
79,86,-2
80,34,-1
80,8,3
81,19,-2
81,61,-1
81,76,-3
82,82,3
82,24,4
82,25,-4
82,15,4
83,89,-5
83,101,4
83,44,3
84,67,4
84,101,-1
84,6,-5
85,13,-2
85,60,5
85,80,1
86,52,-2
86,96,5
87,52,-2
87,96,-1
87,73,2
88,92,2
88,45,5
88,36,-1
89,41,-1
89,16,1
89,8,-1
90,89,-5
90,25,3
90,27,-4
90,45,4
91,48,1
91,42,-4
91,92,-4
92,104,-2
92,44,5
92,96,5
92,23,3
93,36,1
93,53,5
93,56,3
93,22,5
94,96,-5
94,8,-2
94,88,-2
94,14,5
95,70,-4
95,16,-1
96,64,2
96,4,-1
96,28,-2
97,60,2
97,22,-3
97,13,2
98,35,-1
98,73,-2
98,98,5
98,34,3
99,74,1
99,76,1
99,103,-4
99,9,2
100,87,-5
100,22,4
100,57,3
101,30,-5
101,44,2
101,101,-5
101,33,2
102,84,-5
102,6,5
102,37,3
102,46,3
