110,107
2,0,-3
2,2,0
2,2,3
2,4,1
2,5,-4
2,8,2
2,9,1
2,10,-2
2,10,-5
2,11,-4
2,16,1
2,16,1
2,18,3
2,20,1
2,22,-1
2,25,-1
2,26,-5
2,28,4
2,28,-3
2,29,-5
2,30,4
2,36,1
2,37,4
2,38,-5
2,39,-5
2,43,1
2,45,-1
2,47,1
2,48,-1
2,50,5
2,50,5
2,51,-3
2,54,1
2,56,3
2,58,-3
2,59,-5
2,62,3
2,62,5
2,64,5
2,67,-1
2,70,5
2,70,5
2,72,-4
2,74,-2
2,74,4
2,77,-4
2,79,-4
2,81,-4
2,82,2
2,83,3
2,86,5
2,86,3
2,86,-2
2,87,5
2,88,4
2,89,-5
2,89,-3
2,93,-5
2,96,-1
2,96,-3
2,96,5
2,96,3
2,96,-2
2,100,-3
2,100,2
2,105,2
2,107,5
2,109,1
2,110,3
2,110,1
2,113,-2
2,113,-5
2,114,5
2,115,-4
2,116,4
2,119,-2
2,120,-4
2,120,1
2,122,-4
2,123,-5
2,123,-3
2,125,3
2,127,4
2,127,4
2,128,-2
2,129,-2
2,130,-2
2,130,-1
2,132,-1
2,132,-5
2,134,-5
2,136,-5
2,138,-5
2,139,2
2,143,-3
5,18,3
5,20,1
5,22,-1
5,25,-1
5,26,-5
5,28,4
5,28,-3
5,29,-5
5,30,4
5,36,1
5,37,4
5,38,-5
5,39,-5
5,43,1
5,45,-1
5,47,1
5,48,-1
5,50,5
5,50,5
5,51,-3
5,54,1
5,56,3
5,58,-3
5,59,-5
5,62,3
5,62,5
5,64,5
5,67,-1
5,70,5
5,70,5
5,72,-4
5,74,-2
5,74,4
5,77,-4
5,79,-4
5,81,-4
5,82,2
5,83,3
5,86,5
5,86,3
5,86,-2
5,87,5
5,88,4
5,89,-5
5,89,-3
5,93,-5
5,96,-1
5,96,-3
5,96,5
5,96,3
5,96,-2
5,100,-3
5,100,2
5,105,2
5,107,5
5,109,1
5,110,3
5,110,1
5,113,-2
5,113,-5
6,114,5
6,115,-4
6,116,4
6,119,-2
6,120,-4
6,120,1
6,122,-4
6,123,-5
6,123,-3
6,125,3
6,127,4
6,127,4
6,128,-2
6,129,-2
7,130,-2
7,130,-1
7,132,-1
7,132,-5
7,134,-5
7,136,-5
7,138,-5
7,139,2
7,143,-3
7,146,-2
7,147,5
7,147,-4
7,149,4
7,152,5
7,152,5
11,58,-3
12,59,-5
12,62,3
12,62,5
12,64,5
12,67,-1
12,70,5
13,70,5
13,72,-4
13,74,-2
13,74,4
13,77,-4
13,79,-4
13,81,-4
13,82,2
13,83,3
13,86,5
13,86,3
13,86,-2
13,87,5
13,88,4
13,89,-5
13,89,-3
14,93,-5
14,96,-1
14,96,-3
14,96,5
14,96,3
14,96,-2
14,100,-3
14,100,2
14,105,2
14,107,5
14,109,1
14,110,3
16,54,1
16,56,3
16,58,-3
16,59,-5
16,62,3
16,62,5
16,64,5
16,67,-1
16,70,5
16,70,5
16,72,-4
16,74,-2
16,74,4
16,77,-4
16,79,-4
16,81,-4
16,82,2
16,83,3
16,86,5
16,86,3
16,86,-2
16,87,5
16,88,4
16,89,-5
16,89,-3
16,93,-5
16,96,-1
16,96,-3
16,96,5
16,96,3
16,96,-2
16,100,-3
16,100,2
16,105,2
16,107,5
16,109,1
16,110,3
16,110,1
16,113,-2
16,113,-5
16,114,5
16,115,-4
16,116,4
16,119,-2
16,120,-4
16,120,1
16,122,-4
16,123,-5
16,123,-3
16,125,3
16,127,4
16,127,4
16,128,-2
16,129,-2
16,130,-2
16,130,-1
16,132,-1
16,132,-5
16,134,-5
16,136,-5
16,138,-5
16,139,2
16,143,-3
16,146,-2
18,47,1
18,48,-1
18,50,5
18,50,5
18,51,-3
18,54,1
